title,source,date,link
Mantan Menkeu Inggris Maju Mau Gantikan Boris Johnson,CNBC Indonesia,7 jam lalu,https://www.cnbcindonesia.com/news/20220709111823-4-354240/mantan-menkeu-inggris-maju-mau-gantikan-boris-johnson
"Ada 45 Emiten Terbitkan Obligasi dan Sukuk Senilai Rp 72,85 T",CNBC Indonesia,9 jam lalu,https://www.cnbcindonesia.com/market/20220709090935-17-354210/ada-45-emiten-terbitkan-obligasi-dan-sukuk-senilai-rp-7285-t
"Luhut Ngamuk, Minyak Sawit Indonesia Malah Diatur Malaysia",CNBC Indonesia,3 jam lalu,https://www.cnbcindonesia.com/news/20220709133605-4-354253/luhut-ngamuk-minyak-sawit-indonesia-malah-diatur-malaysia
Jreengg... Elon Musk Batal Beli Twitter!,CNBC Indonesia,5 jam lalu,https://www.cnbcindonesia.com/market/20220709130313-17-354250/jreengg-elon-musk-batal-beli-twitter
Kamu Mau ke Luar Negeri? Booster Dulu! Wajib Mulai 17 Juli,CNBC Indonesia,8 jam lalu,https://www.cnbcindonesia.com/news/20220709105204-4-354237/kamu-mau-ke-luar-negeri-booster-dulu-wajib-mulai-17-juli
"Data Tenaga Kerja AS Tetap Kuat, Masih Bakal Resesi Gak?",CNBC Indonesia,6 jam lalu,https://www.cnbcindonesia.com/news/20220709112529-4-354241/data-tenaga-kerja-as-tetap-kuat-masih-bakal-resesi-gak
"KB Bukopin Makin Dipercaya Dunia Internasional, Ini Buktinya",CNBC Indonesia,10 jam lalu,https://www.cnbcindonesia.com/market/20220709080544-17-354207/kb-bukopin-makin-dipercaya-dunia-internasional-ini-buktinya
"Ini Deretan Saham Tercuan & Terboncos, Ada Punya Kamu?",CNBC Indonesia,2 jam lalu,https://www.cnbcindonesia.com/market/20220709151642-20-354266/ini-deretan-saham-tercuan-terboncos-ada-punya-kamu
"Dorong UMKM Go Global, BNI Jadi Contoh",CNBC Indonesia,22 mnt lalu,https://www.cnbcindonesia.com/market/20220709184624-17-354322/dorong-umkm-go-global-bni-jadi-contoh
"Covid DKI Makin Nanjak, Ini Peta Sebaran Kasus Hari Ini",CNBC Indonesia,1 jam lalu,https://www.cnbcindonesia.com/news/20220709180149-4-354319/covid-dki-makin-nanjak-ini-peta-sebaran-kasus-hari-ini
"Inflasi Merajalela, Pengusaha Antisipasi Kenaikan Harga",CNBC Indonesia,2 jam lalu,https://www.cnbcindonesia.com/news/20220707130734-8-353720/inflasi-merajalela-pengusaha-antisipasi-kenaikan-harga
Kredit BJB Mesra Masuk Top Inovasi Pelayanan Publik 2022,CNBC Indonesia,9 jam lalu,https://www.cnbcindonesia.com/market/20220709092743-17-354213/kredit-bjb-mesra-masuk-top-inovasi-pelayanan-publik-2022
"Alert! Krisis Energi Hantam Eropa, Kerusuhan di Depan Mata",CNBC Indonesia,22 jam lalu,https://www.cnbcindonesia.com/news/20220708195232-4-354187/alert-krisis-energi-hantam-eropa-kerusuhan-di-depan-mata
"Harga Emas Merosot Terus Nih, Ambles 4 Pekan Beruntun",CNBC Indonesia,5 jam lalu,https://www.cnbcindonesia.com/market/20220709124150-17-354246/harga-emas-merosot-terus-nih-ambles-4-pekan-beruntun
"Update Iuran Resmi BPJS Kesehatan Juli 2022, Jadi Segini?",CNBC Indonesia,4 jam lalu,https://www.cnbcindonesia.com/news/20220709125147-4-354248/update-iuran-resmi-bpjs-kesehatan-juli-2022-jadi-segini
"Hati-hati Krisis Sub-Prime Mortgage, Bu Sri Mulyani...",CNBC Indonesia,1 hari lalu,https://www.cnbcindonesia.com/market/20220708115640-17-354002/hati-hati-krisis-sub-prime-mortgage-bu-sri-mulyani
"Investor Berebut Akuisisi Bank Kecil, OJK Beri Syarat Ini!",CNBC Indonesia,8 jam lalu,https://www.cnbcindonesia.com/mymoney/20220707135749-74-353739/investor-berebut-akuisisi-bank-kecil-ojk-beri-syarat-ini
"Simak Pergerakan Rupiah Sepekan, Masih Sekitar Rp 15.000/US$?",CNBC Indonesia,5 jam lalu,https://www.cnbcindonesia.com/market/20220709105243-20-354238/simak-pergerakan-rupiah-sepekan-masih-sekitar-rp-15000-us-
Ini Dia Mesin Pembunuh Rusia yang Paling Ditakuti Ukraina,CNBC Indonesia,2 jam lalu,https://www.cnbcindonesia.com/news/20220709154728-4-354270/ini-dia-mesin-pembunuh-rusia-yang-paling-ditakuti-ukraina
Duh! Shinzo Abe Ditembak di Negara Teraman di Dunia,CNBC Indonesia,12 jam lalu,https://www.cnbcindonesia.com/news/20220709064637-4-354198/duh-shinzo-abe-ditembak-di-negara-teraman-di-dunia
